# Radio PRO 2021.2.5
# © 2015-2021 by crosstales LLC (https://www.crosstales.com)
#
# List of all radio stations
# Created: 02.12.2021
# Name;Url;DataFormat;AudioFormat;Station (optional);Genres (optional);Bitrate (in kbit/s, optional);Rating (0-5, optional);Description (optional);ExcludeCodec (optional);ChunkSize (in KB, optional);BufferSize (in KB, optional);IconUrl (optional);City (optional);Country (optional);Language (optional)
1.FM - Absolute 70's Pop Radio;http://185.33.22.15:11006;Stream;MP3;https://www.1.fm;Decades, 70s;192;4;;None;32;48;;Zürich;CH;English
1.FM - Absolute Country Hits Radio;http://185.33.21.112:11017;Stream;MP3;https://www.1.fm;Country;192;2;;None;32;48;;Zürich;CH;English
1.FM - Absolute TOP 40 Radio;http://185.33.22.15:11250;Stream;MP3;https://www.1.fm;Top 40;192;3;;None;32;48;;Zürich;CH;English
1.FM - America's Best Ballads Radio;http://185.33.21.112:11173;Stream;MP3;https://www.1.fm;Love and Romance;192;3;;None;32;48;;Zürich;CH;English
1.FM - Amsterdam Trance Radio;http://185.33.21.112:11029;Stream;MP3;https://www.1.fm;Trance;192;4;;None;32;48;;Zürich;CH;English
1.FM - Bay Smooth Jazz Radio;http://185.33.21.112:11230;Stream;MP3;https://www.1.fm;Jazz;192;4;;None;32;48;;Zürich;CH;English
1.FM - Chillout Lounge Radio;http://185.33.21.112:11065;Stream;MP3;https://www.1.fm;Lounge;192;4;;None;32;48;;Zürich;CH;English
1.FM - Classic Country Radio;http://185.33.21.112:11061;Stream;MP3;https://www.1.fm;Classic Country;192;2;;None;32;48;;Zürich;CH;English
1.FM - Classic Rock Replay Radio;http://185.33.21.112:11093;Stream;MP3;https://www.1.fm;Classic Rock;192;4;;None;32;48;;Zürich;CH;English
1.FM - Country One Radio;http://185.33.21.112:11089;Stream;MP3;https://www.1.fm;Country;192;2;;None;32;48;;Zürich;CH;English
1.FM - ReggaeTrade Radio;http://185.33.22.15:11202;Stream;MP3;https://www.1.fm;Reggae;192;4;;None;32;48;;Zürich;CH;English
1.FM - Rock Classics Radio;http://185.33.21.112:11205;Stream;MP3;https://www.1.fm;Rock;192;4;;None;32;48;;Zürich;CH;English
ClubTime.FM - 24h Deep-, Tech- and Minimal House and Techno;http://listen.clubtime.fm/tunein-mp3-asx;Stream;MP3;http://www.ClubTime.FM;Techno Electronic;192;3;;None;32;48;;;DE;German
CoreTime.FM - 24h Hardcore, Industrial, Speedcore and More;http://listen.coretime.fm/tunein-mp3-asx;Stream;MP3;http://www.CoreTime.FM;Hardcore Electronic Techno;192;3;;None;32;48;;;DE;German
HardBase.FM - 24h Hardstyle, Jumpstyle and More;http://listen.hardbase.fm/tunein-mp3-asx;Stream;MP3;http://www.HardBase.FM;Hardstyle Hard House Electronic Techno;192;3;;None;32;48;;;DE;German
HouseTime.FM - 24h EDM, House, Electro and More;http://listen.housetime.fm/tunein-mp3-asx;Stream;MP3;http://www.HouseTime.FM;House Electronic EDM;192;3;;None;32;48;;;DE;German
TechnoBase.FM - 24h Techno, Dance, HandsUp and More;http://listen.technobase.fm/tunein-mp3-asx;Stream;MP3;http://www.TechnoBase.FM;Dance;192;3;;None;32;48;;;DE;German
TranceBase.FM - 24h Vocal-, Progressive-, Uplifting-, Hard-Trance, Techno and More;http://listen.trancebase.fm/tunein-mp3-asx;Stream;MP3;http://www.TranceBase.FM;Trance Electronic Techno;192;3;;None;32;48;;;DE;German
Dance Wave!;http://stream.dancewave.online:8080/dance.mp3;Stream;MP3;http://dancewave.online/;Club Dance Electronic House Trance;128;4;We play of the best Dance, House and Trance tracks.;None;32;48;https://dancewave.online/images/dw.png;Budapest;HU;Other
Pinguin Indie;http://178.18.137.246:80;Stream;MP3;Pinguinradio.com;indie;320;5;;None;32;48;https://cdn-radiotime-logos.tunein.com/s45142q.png;;;
Radio Paradise (96k Ogg/Vorbis) - playlist: radioparadise.com;http://stream-sd1.radioparadise.com:80/ogg-96;Stream;OGG;https://radioparadise.com;Eclectic;96;2;;None;32;48;;;;
SomaFM Reggae: Stuff [SomaFM];https://ice1.somafm.com/reggae-256-mp3;Stream;MP3;https://somafm.com/reggae/;Reggae Ska Rocksteady;320;5;Reggae, Ska, Rocksteady classic and deep tracks.;;32;48;https://somafm.com/img3/reggae400.png;San Francisco;US;English
Groove Salad: a nicely chilled plate of ambient beats and grooves. [SomaFM];https://ice1.somafm.com/groovesalad-128-mp3;Stream;MP3;https://somafm.com;Ambient Chill;128;4;A nicely chilled plate of ambient/downtempo beats and grooves.;MP3_NLayer;32;48;https://somafm.com/img3/groovesalad-400.jpg;San Francisco;US;English
Groove Salad Classic: The early days of a nicely chilled plate of ambient beats and grooves. [SomaFM];https://ice1.somafm.com/gsclassic-128-mp3;Stream;MP3;https://somafm.com/gsclassic/;Ambient Chill;160;4;The classic (early 2000s) version of a nicely chilled plate of ambient/downtempo beats and grooves.;;32;48;https://somafm.com/img3/gsclassic400.jpg;San Francisco;US;English
